In20,Out20,In30,Out30,In60,Out60
0.50252555,0.995953007,0.362436291,1.046815847,0.071513989,1.170413679
0.119423463,0.439801112,0.080852057,0.505200508,0.021877889,0.667050254
0.144772859,0.363741581,0.100385912,0.423890016,0.036782915,0.645832212
0.18943329,0.617525538,0.120586438,0.68854632,0.024278967,0.839589047
0.121329807,0.42464718,0.083741761,0.461111042,0.020108826,0.59626957
0.119032011,0.228351985,0.080427361,0.281302049,0.01845829,0.469300443
0.145999969,0.511498282,0.091914284,0.560416881,0.021661885,0.597361749
0.470110983,0.486567512,0.308182514,0.544353184,0.068700001,0.66814129
0.169900314,0.365530374,0.112067994,0.436816912,0.028374669,0.670673363
0.156569186,0.270288143,0.10634462,0.311556321,0.024586284,0.561629913
0.177137931,0.466379905,0.107793238,0.527197814,0.022909074,0.672906237
0.082929767,0.305432237,0.05936269,0.375881165,0.014355261,0.524471629
0.071402151,0.235695054,0.05124945,0.301581049,0.01337063,0.493737613
0.117445204,0.399674704,0.080961777,0.435589801,0.016660617,0.639311969
0.580317427,0.608214926,0.390547273,0.714292684,0.089899147,0.927422359
0.645613462,0.63855314,0.429456227,0.791396257,0.108752046,0.888834623
0.132917686,0.361015413,0.090549092,0.428218556,0.021878296,0.611987683
0.215497513,0.393290346,0.140174084,0.452778448,0.037431472,0.659279589
0.557828992,0.755194704,0.386595837,0.87222403,0.088315159,1.022084758
0.328540334,0.396724486,0.229842302,0.404974822,0.053075874,0.544000928
0.17071132,0.465939331,0.106357341,0.529258433,0.029144484,0.634176523
0.411646125,0.496822132,0.300275294,0.507853532,0.065922687,0.697021744
0.110488684,0.160636288,0.072158774,0.21050403,0.015659782,0.406933573
0.139606137,0.549062316,0.083340686,0.638350474,0.018897169,0.824511231
0.141583531,0.358382966,0.092566535,0.414492184,0.027395673,0.586495375
0.08641254,0.124394584,0.063222775,0.184315671,0.014216045,0.351021816
0.137937208,0.373157538,0.089007549,0.436092351,0.022264214,0.709107804
0.522952654,0.507159069,0.338953484,0.600836416,0.09838272,0.796611044
0.134608394,0.345555665,0.092252348,0.406837172,0.021172665,0.560288338
0.215885317,0.45826875,0.138926372,0.530489533,0.0365625,0.747843331
0.412187436,0.401026616,0.296342734,0.465728723,0.079774626,0.696461563
0.395771076,0.398357683,0.281417239,0.454700136,0.079982298,0.633567849
0.330996347,0.722329411,0.221110158,0.77782868,0.034961337,0.997009785
0.606853227,0.802274646,0.444567584,0.924343442,0.101219039,1.096556799
0.222234976,0.500638974,0.124429983,0.60636565,0.043613016,0.789267588
0.150347037,0.488860967,0.095739356,0.548234888,0.029291211,0.803959421
